DIAGNOSISCODE,DESCRIPTION,OM8_HCC_ERRD_MODEL_CATEGORY_V21,OM8_HCC_ERRD_MODEL_CATEGORY_V24,OM8_HCC_MODEL_CATEGORY_V22,OM8_HCC_MODEL_CATEGORY_V24,OM8_HCC_MODEL_CATEGORY_V28,RARCC_MODEL_CATEGORY_V05,RARCC_MODEL_CATEGORY_V03,OM8_HCC_ERRD_MODEL_CATEGORY_V21_FOR_2025_PAYMENT_YEAR,OM8_HCC_ERRD_MODEL_CATEGORY_V24_FOR_2025_PAYMENT_YEAR,OM8_HCC_MODEL_CATEGORY_V22_FOR_2025_PAYMENT_YEAR,OM8_HCC_MODEL_CATEGORY_V24_FOR_2025_PAYMENT_YEAR,OM8_HCC_MODEL_CATEGORY_V28_FOR_2025_PAYMENT_YEAR,RARCC_MODEL_CATEGORY_V05_FOR_2025_PAYMENT_YEAR,RARCC_MODEL_CATEGORY_V03_FOR_2025_PAYMENT_YEAR
A77.41,Ehrlichiosis chaffeensis [human monocytic ehrlichiosis],2,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A77.49,Other ehrlichiosis,2,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A77.8,Other spotted fevers,2,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A77.9,Spotted fever (unspecified),2,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A78.0,Q fever,2,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A79.0,Trench fever,2,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A79.81,Babesiosis,2,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A79.89,Other specified rickettsial infections,2,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A80.0,Poliomyelitis due to wild-type poliovirus,77,88,89,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A80.1,Poliomyelitis due to vaccine-derived poliovirus,77,88,89,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A80.2,Poliomyelitis (unspecified),77,88,89,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A80.30,Poliomyelitis (unspecified type),77,88,89,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A80.39,Other poliomyelitis,77,88,89,100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A81.00,Creutzfeldt-Jakob disease (sporadic),52,52,52,102,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A81.01,Variant Creutzfeldt-Jakob disease,52,52,52,102,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A81.09,Other Creutzfeldt-Jakob disease,52,52,52,102,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A81.1,Subacute sclerosing panencephalitis,52,52,52,102,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A81.2,Progressive multifocal leukoencephalopathy,52,52,52,102,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A81.81,Kuru,52,52,52,102,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A81.82,Fatal familial insomnia [FFI],52,52,52,102,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A81.83,Familial Creutzfeldt-Jakob disease,52,52,52,102,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A81.89,Other atypical virus infections of central nervous system,52,52,52,102,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A81.9,Atypical virus infection (unspecified),52,52,52,102,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A82.0,Sylvatic rabies,7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A82.1,Urban rabies,7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A82.9,Rabies (unspecified),7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A83.0,Japanese encephalitis,7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A83.1,Western equine encephalitis,7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A83.2,Eastern equine encephalitis,7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A83.3,St. Louis encephalitis,7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A83.4,Australian encephalitis,7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A83.5,California encephalitis,7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A83.6,Rocio virus encephalitis,7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A83.8,Other specified mosquito-borne viral encephalitis,7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A83.9,Mosquito-borne viral encephalitis (unspecified),7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A84.0,Tick-borne encephalitis (Russian spring-summer encephalitis),7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A84.1,Louping ill,7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A84.8,Other tick-borne viral encephalitis,7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A84.9,Tick-borne viral encephalitis (unspecified),7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A85.0,Enteroviral encephalitis,7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A85.1,Adenoviral encephalitis,7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A85.2,Arthropod-borne viral encephalitis (unspecified),7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A85.8,Other specified viral encephalitis,7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A86.0,Viral encephalitis (unspecified),7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A87.0,Enteroviral meningitis,7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A87.1,Adenoviral meningitis,7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A87.2,Lymphocytic choriomeningitis,7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A87.8,Other viral meningitis,7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A87.9,Viral meningitis (unspecified),7,9,12,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A88.0,Enteroviral exanthematous fever [Boston exanthem],6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A88.1,Epidemic vertigo,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A88.8,Other specified viral infections of central nervous system,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A89.0,Unspecified viral infection of central nervous system,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A90.0,Dengue fever,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A91.0,Dengue hemorrhagic fever,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A92.0,O'nyong'nyong fever,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A92.1,Ross River disease,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A92.2,Chikungunya virus disease,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A92.3,Sindbis virus disease,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A92.8,Other specified arthropod-borne viral fevers,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A92.9,Arthropod-borne viral fever (unspecified),6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A93.0,Oropouche virus disease,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A93.1,Sandfly fever,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A93.2,Colorado tick fever,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A93.8,Other specified arthropod-borne viral diseases,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A94.0,Unspecified arthropod-borne viral disease,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A95.0,Sylvatic yellow fever,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A95.1,Urban yellow fever,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A95.9,Yellow fever (unspecified),6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A96.0,Junín virus disease,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A96.1,Machupo virus disease,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A96.2,Lassa fever,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A96.8,Other arenaviral fevers,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A96.9,Arenaviral fever (unspecified),6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A98.0,Marburg virus disease,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A98.1,Ebola virus disease,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A98.2,Sudan virus disease,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A98.3,Taï Forest virus disease,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A98.4,Bundibugyo virus disease,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A98.5,Reston virus disease,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A98.8,Other filoviral fevers,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A99.0,Unspecified arthropod-borne viral fever,6,6,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
